Time[s], RX en 1, TX en 1, Ready 1, Address 1, RX en, TX en, Ready, Address
0.000000000000000, 0, 1, 0, 1, 0, 0, 0, 0
0.557442200000000, 0, 1, 0, 1, 0, 1, 0, 0
0.557443440000000, 0, 0, 0, 1, 0, 1, 0, 0
0.559290680000000, 0, 0, 0, 0, 0, 1, 0, 0
0.559291440000000, 0, 0, 0, 0, 0, 1, 0, 1
0.559427920000000, 0, 1, 0, 0, 0, 1, 0, 1
0.559428680000000, 0, 1, 0, 0, 0, 0, 0, 1
0.561526560000000, 1, 1, 0, 0, 1, 0, 0, 1
0.561862640000000, 0, 1, 0, 0, 1, 0, 0, 1
0.561862680000000, 0, 1, 0, 0, 0, 0, 0, 1
0.561863680000000, 0, 1, 0, 0, 0, 1, 0, 1
0.561863920000000, 0, 0, 0, 0, 0, 1, 0, 1
0.561889160000000, 0, 1, 0, 0, 0, 1, 0, 1
0.561889320000000, 0, 1, 0, 0, 0, 0, 0, 1
0.565437400000000, 0, 1, 1, 0, 0, 0, 1, 1
0.565574640000000, 0, 0, 1, 0, 0, 0, 1, 1
0.565574680000000, 0, 0, 1, 0, 0, 1, 1, 1
0.565616880000000, 1, 0, 1, 0, 0, 1, 1, 1
0.565616920000000, 1, 0, 1, 0, 1, 1, 1, 1
0.565953960000000, 0, 0, 1, 0, 0, 1, 1, 1
0.565958640000000, 0, 1, 1, 0, 0, 0, 1, 1
0.565968760000000, 0, 0, 1, 0, 0, 0, 1, 1
0.565968920000000, 0, 0, 1, 0, 0, 1, 1, 1
0.569533360000000, 0, 0, 0, 0, 0, 1, 1, 1
0.569533400000000, 0, 0, 0, 0, 0, 1, 0, 1
0.569670600000000, 0, 1, 0, 0, 0, 1, 0, 1
0.569670640000000, 0, 1, 0, 0, 0, 0, 0, 1
0.569712880000000, 1, 1, 0, 0, 1, 0, 0, 1
0.570049920000000, 0, 1, 0, 0, 1, 0, 0, 1
0.570049960000000, 0, 1, 0, 0, 0, 0, 0, 1
0.570054600000000, 0, 0, 0, 0, 0, 0, 0, 1
0.570054640000000, 0, 0, 0, 0, 0, 1, 0, 1
0.570064120000000, 0, 1, 0, 0, 0, 1, 0, 1
0.570064240000000, 0, 1, 0, 0, 0, 0, 0, 1
0.573629360000000, 0, 1, 1, 0, 0, 0, 1, 1
0.573766600000000, 0, 0, 1, 0, 0, 1, 1, 1
0.573808840000000, 1, 0, 1, 0, 0, 1, 1, 1
0.573808880000000, 1, 0, 1, 0, 1, 1, 1, 1
0.574145880000000, 0, 0, 1, 0, 1, 1, 1, 1
0.574145920000000, 0, 0, 1, 0, 0, 1, 1, 1
0.574150600000000, 0, 1, 1, 0, 0, 0, 1, 1
